condition,currency,category,year,make,model,location,s/n,reg,total_hours,national_origin,standard_price,hour,price,country
Used,USD,Private Jets,1992,CESSNA,CITATION VII,"Galesburg,
	                           IL
	                           USA",650-7015,N750CK,11550.0,United States,950000.0,more than 10000 hours,upto 1000000 hours,USA
Used,USD,Turboprops,1992,AIR TRACTOR,AT-502,"Fayetteville,
	                           AR
	                           USA",502-0167,N1532B,9793.0,United States,295000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2008,AVIAT,HUSKY A-1C,"Helena,
	                           MT
	                           USA",3031,N45SV,370.0,United States,159000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2013,AMERICAN CHAMPION,8-GCBC SCOUT,"Eau Claire,
	                           WI
	                           USA",557-2013,N500BC,235.0,United States,199900.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1979,PIPER AIRCRAFT,TURBO ARROW IV,"Inverness,
	                           FL
	                           USA",28R-793105,N2189N,4253.0,United States,69900.0,upto 10000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1981,PIPER AIRCRAFT,SEMINOLE,"San Antonio,
	                           TX
	                           USA",44-8107008,N5UZ,4119.0,United States,169900.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1983,PIPER AIRCRAFT,ARCHER II,"Mesa,
	                           AZ
	                           USA",28-8390023,N17762,7841.0,United States,62900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1974,PIPER AIRCRAFT,SUPER CUB,"Rifle,
	                           CO
	                           USA",Not Listed,Not Listed,4300.0,United States,65000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1974,PIPER AIRCRAFT,WARRIOR,"Ocean Springs,
	                           MS
	                           USA",Not Listed,N626NJ,9360.0,United States,47500.0,upto 10000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1975,BEECHCRAFT,58 BARON,"Stuart,
	                           FL
	                           USA",TH-651,N18HM,5714.0,United States,119000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1975,BEECHCRAFT,A36 BONANZA 36,"Farmingdale,
	                           NY
	                           USA",E764,N4637S,7231.0,United States,109000.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1975,BEECHCRAFT,B55 BARON,"Indianapolis,
	                           IN
	                           USA",TC-1848,N4126S,3000.0,United States,94750.0,upto 4000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1975,BEECHCRAFT,B60 DUKE,"Petersburg,
	                           VA
	                           USA",Not Listed,N37DB,5175.0,United States,129000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1975,BEECHCRAFT,C23 SUNDOWNER 180,"Madison,
	                           GA
	                           USA",M1644,N9341S,3939.0,United States,42000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1975,BELLANCA,17-30A SUPER VIKING,"Southwest,
	                           OH
	                           USA",Not Listed,N9558E,2792.0,United States,48500.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1975,BELLANCA,17-31ATC TURBO SUPER VIKING,"Redmond,
	                           OR
	                           USA",75-31118,N505JW,980.0,United States,59900.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1975,BELLANCA,17-31ATC TURBO SUPER VIKING,"El Paso,
	                           TX
	                           USA",75-31112,N4090B,1280.0,United States,50000.0,upto 2000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1975,BELLANCA,CITABRIA 7ECA,"Moultrie,
	                           GA
	                           USA",1100-75,N88375,765.0,United States,52000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1975,CESSNA,150M,"Boerne,
	                           TX
	                           USA",15077199,N63244,3280.0,United States,40000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1975,CESSNA,150M,"Bellingham International Airport,
	                           WA
	                           USA",15076224,N66707,14350.0,United States,22500.0,more than 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1975,CESSNA,172M SKYHAWK,"Livermore,
	                           CA
	                           USA",17264719,N61672,9329.0,United States,69950.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1975,CESSNA,172M SKYHAWK,"Bay Harbor Islands,
	                           FL
	                           USA",17265093,N64213,5266.0,United States,85900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1975,CESSNA,182P SKYLANE,"Louisburg,
	                           NC
	                           USA",18263498,N5723J,4907.0,United States,129900.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1971,PIPER AIRCRAFT,ARROW II,"Milton,
	                           FL
	                           USA",28R-713513,N1940T,4986.0,United States,59900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1971,PIPER AIRCRAFT,CHEROKEE 6/260,"Kennesaw,
	                           GA
	                           USA",Not Listed,N8656N,10000.0,United States,82500.0,upto 10000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1972,BEECHCRAFT,55 BARON,"Fayetteville,
	                           AR
	                           USA",TC-1486,N1704W,3523.0,United States,112500.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1972,BEECHCRAFT,58 BARON,"Columbus,
	                           OH
	                           USA",TH-219,N329H,13750.0,United States,65000.0,more than 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1972,BEECHCRAFT,A36 BONANZA 36,"Riverside,
	                           CA
	                           USA",E-331,78BF,7039.0,United States,190000.0,upto 10000 hours,upto 250000,USA
Used,USD,Turboprops,1972,BEECHCRAFT,KING AIR E90,"Petersburg,
	                           VA
	                           USA",LW-50,N150TW,13180.0,United States,499000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1972,BEECHCRAFT,V35B BONANZA,"Torrance,
	                           CA
	                           USA",D-9337,N24JV,3696.0,United States,129000.0,upto 4000 hours,upto 250000,USA
Used,USD,Turbine Helicopters,1972,BELL TEXTRON,206B,"Fredrick,
	                           MD
	                           USA",823,N503W,13705.0,United States,330000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1972,BELLANCA,CITABRIA 7GCBC,"NJ
	                           USA",Not Listed,N10989,1200.0,United States,69500.0,upto 2000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1972,CESSNA,172L SKYHAWK,"PA
	                           USA",Not Listed,N7101Q,3690.0,United States,63000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1972,CESSNA,182P SKYLANE,USA,18261413,N21099,3513.0,United States,68500.0,upto 4000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1972,CESSNA,310Q,"Houlton,
	                           ME
	                           USA",310Q-0619,N7899Q,6348.0,United States,89500.0,upto 10000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1972,CESSNA,340,"Bakersfield,
	                           CA
	                           USA",340-0104,N269WT,3830.0,United States,165500.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1972,CESSNA,421B,"CO
	                           USA",421B0261,N3377Q,4900.0,United States,49950.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1972,CESSNA,T210L,"Columbia,
	                           CA
	                           USA",Not Listed,N5127Q,3250.0,United States,165000.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1967,CESSNA,310N,"Corona,
	                           CA
	                           USA",310N-0023,N799VD,6047.0,United States,69000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1967,CESSNA,T210G,"SPOTSYLVANIA,
	                           VA
	                           USA",Not Listed,N6830R,4336.0,United States,113500.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1967,CESSNA,U206A,"MT
	                           USA",U2060494,N9769N,10137.0,United States,199000.0,more than 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1967,MOONEY INTERNATIONAL CORP,M20F EXEC 21,"Savannah,
	                           GA
	                           USA",670021,N9002N,6636.0,United States,59000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1967,PIPER AIRCRAFT,ARROW,"Williamson,
	                           NY
	                           USA",28R-30126,N3811T,8550.0,United States,64900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1967,PIPER AIRCRAFT,ARROW,"Hillsboro,
	                           ND
	                           USA",28R-30041,N3733T,5350.0,United States,65000.0,upto 10000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1967,PIPER AIRCRAFT,AZTEC C,"Stuart,
	                           FL
	                           USA",27-3718,N7HW,5858.0,United States,99000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1967,PIPER AIRCRAFT,CHEROKEE 180,"Louisburg,
	                           NC
	                           USA",28-4520,N5226L,7232.0,United States,64900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1967,PIPER AIRCRAFT,CHEROKEE 235,"Calgary
	                           
	                           CAN",Not Listed,C-FVNQ,2325.0,United States,54900.0,upto 4000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1967,PIPER AIRCRAFT,NAVAJO,"Stuart,
	                           FL
	                           USA",31-14,N9009Y,4865.0,United States,69900.0,upto 10000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1967,PIPER AIRCRAFT,TURBO TWIN COMANCHE,"Tracy,
	                           CA
	                           USA",#30-1517,N614JD,5970.0,United States,115000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1967,SIAI MARCHETTI,SF260,"Luskintyre,
	                           NSW
	                           AUS",108,VH-OTI,3891.0,Italy,199000.0,upto 4000 hours,upto 250000,Other
Used,USD,Turboprops,1968,BEECHCRAFT,99,"Calgary,
	                           AB
	                           CAN",Not Listed,Not Listed,36304.0,United States,425000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Multi Engine Piston,1968,BEECHCRAFT,B55 BARON,"WV
	                           USA",Not Listed,N1007F,3604.0,United States,85000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1968,BEECHCRAFT,E33 BONANZA,"Waterloo,
	                           NE
	                           USA",Not Listed,N684PA,5547.0,United States,67500.0,upto 10000 hours,upto 100000,USA
Used,USD,Turboprops,1968,BEECHCRAFT,KING AIR B90,"Sarasota,
	                           FL
	                           USA",LJ-401,N590SA,16479.0,United States,249000.0,more than 10000 hours,upto 250000,USA
Used,USD,Turboprops,1968,BEECHCRAFT,KING AIR B90,"Goodland,
	                           KS
	                           USA",LJ-410,N901WL,12234.0,United States,380000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Multi Engine Piston,1963,BEECHCRAFT,H18,"Ste St Marie,
	                           ON
	                           CAN",BA-641,C-FRQD,4759.0,United States,195000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1963,BEECHCRAFT,P35 BONANZA,"Savannah,
	                           TN
	                           USA",D-7193,N8529M,5685.0,United States,89900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1963,CESSNA,150C,"Pompano Beach,
	                           FL
	                           USA",15059881,N2081Z,2778.0,United States,32000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1963,CESSNA,172D SKYHAWK,"GILBERT,
	                           AZ
	                           USA",17249930,N2503A,3560.0,United States,51000.0,upto 4000 hours,upto 100000,USA
Project,USD,Single Engine Piston,1963,CESSNA,180F,"Kelowna,
	                           BC
	                           CAN",180 51291,C-FPML,98294.0,United States,45500.0,more than 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1963,CESSNA,182F SKYLANE,"TWISP,
	                           WA
	                           USA",18254695,N4VJ,5664.0,United States,68500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1963,CESSNA,182F SKYLANE,"Canada,
	                           YT
	                           CAN",Not Listed,Not Listed,3715.0,United States,67000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1963,CESSNA,182G SKYLANE,"Midland,
	                           TX
	                           USA",18255149,N993DW,47781.0,United States,149900.0,more than 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1963,CESSNA,205,"Placerville,
	                           CA
	                           USA",87,N1887Z,6891.0,United States,99500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1963,CESSNA,210C,"Birmingham,
	                           AL
	                           USA",21058103,N3603Y,3950.0,United States,67000.0,upto 4000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1963,CHAMPION AIRCRAFT,LANCER 402,"Cheyenne,
	                           WY
	                           USA",402-22,N9927Y,657.0,United States,9000.0,upto 1000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1963,CHAMPION AIRCRAFT,LANCER 402,"Cheyenne,
	                           WY
	                           USA",402-13,N9957Y,650.0,United States,59000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1963,MAULE AIR,M-4,"MO
	                           USA",19,N12009,1005.0,United States,38500.0,upto 2000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1963,PIPER AIRCRAFT,APACHE,"LACON,
	                           IL
	                           USA",PA-23-235,N4961P,5775.0,United States,49000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1963,PIPER AIRCRAFT,CHEROKEE 180,"TX
	                           USA",Not Listed,N7161W,4881.0,United States,55500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1963,PIPER AIRCRAFT,CHEROKEE 180,"Bolivar,
	                           MO
	                           USA",Not Listed,N7172W,3083.0,United States,25000.0,upto 4000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1963,PIPER AIRCRAFT,TWIN COMANCHE,"Buckley,
	                           WA
	                           USA",30-81,N7068Y,3808.0,United States,52500.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1956,BEECHCRAFT,T34B MENTOR,"ND
	                           USA",Not Listed,Not Listed,0.0,United States,500000.0,upto 1000 hours,upto 500000 hours,USA
Project,USD,Single Engine Piston,1956,CESSNA,180 SKYWAGON,"San Jacinto,
	                           CA
	                           USA",32685,N7788A,4014.0,United States,59700.0,upto 10000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1956,ROCKWELL,560,"Kapolei,
	                           HI
	                           USA",285,N10RT,4637.0,United States,120000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1956,FOCKE WULF,FW P 149D,"CA
	                           USA",255,N149JZ,3160.0,Germany,79000.0,upto 4000 hours,upto 100000,Other
Used,USD,Single Engine Piston,1956,PIPER AIRCRAFT,PACER,"Calgary
	                           
	                           CAN",Not Listed,Not Listed,3927.0,United States,44000.0,upto 4000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1957,BEECHCRAFT,E18S,"Fort Valley,
	                           GA
	                           USA",Not Listed,Not Listed,9400.0,United States,179500.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1957,BEECHCRAFT,H35 BONANZA,"Daytona Beach,
	                           FL
	                           USA",D-4891,N4686D,4450.0,United States,64500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1957,BEECHCRAFT,H35 BONANZA,"Hanceville,
	                           AL
	                           USA",D-5069,371B,4218.0,United States,62900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1957,BEECHCRAFT,H35 BONANZA,"El Paso  KDNA,
	                           TX
	                           USA",D-5022,N5493D,4356.0,United States,54500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1957,BEECHCRAFT,T34B MENTOR,"KOCF,
	                           FL
	                           USA",BG-391,N4084,9265.0,United States,225000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1957,CESSNA,180A,"Placerville,
	                           CA
	                           USA",50052,N180AY,6035.0,United States,79500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1957,CESSNA,182A SKYLANE,"Spring Branch,
	                           TX
	                           USA",33938,N5938B,3649.0,United States,62995.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1957,CESSNA,182A SKYLANE,"HAWKESBURY,
	                           ON
	                           CAN",Not Listed,Not Listed,5600.0,United States,69900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1957,NORTH AMERICAN AVIATION,T28C,"TX
	                           USA",140610,N8084V,8084.0,United States,130000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1957,PIPER AIRCRAFT,PA 22,"Jackson,
	                           MI
	                           USA",22-5725,N8498D,4210.0,United States,29000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1957,PIPER AIRCRAFT,SUPER CUB,"Uvalde,
	                           TX
	                           USA",18-6104,N8176D,3348.0,United States,95000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1957,PIPER AIRCRAFT,TRI-PACER,"Atlanta,
	                           GA
	                           USA",22-5497,N7847D,3130.0,United States,33000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,AERONCA,7 CHAMP,"Redmond,
	                           OR
	                           USA",7AC-669,N82043,5988.0,United States,19900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,AERONCA,7 CHAMPION AC,"Taunton. KTAN,
	                           MA
	                           USA",Not Listed,82297,5400.0,United States,27500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,AERONCA,7 CHAMPION AC,"Erie,
	                           CO
	                           USA",Not Listed,N83365,4108.0,United States,35000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,AERONCA,7 CHAMPION AC,"Tallulah,
	                           LA
	                           USA",7ac-834,N82206,2700.0,United States,30000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,AERONCA,7 CHAMPION BCM,"Canon,
	                           GA
	                           USA",Not Listed,N 84055,4778.0,United States,27500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,AERONCA,7 CHAMPION DC,"Mineral Wells,
	                           WV
	                           USA",7AC-1681,N83024,4058.0,United States,32000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,AERONCA,7 CHAMPION EC,"Hubbard,
	                           OR
	                           USA",7AC-6102,N2520E,5677.0,United States,26500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,CESSNA,140,"Sellersburg,
	                           IN
	                           USA",9653,NC72485,4396.0,United States,28900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,ERCOUPE,415-C,"Gonzales,
	                           LA
	                           USA",1529,94306,1807.0,United States,29500.0,upto 2000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,GLOBE,SWIFT,"Cave Creek,
	                           AZ
	                           USA",2106,N33TC,2060.0,United States,46500.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,GLOBE,SWIFT,"SC
	                           USA",143,N80740,3160.0,United States,29750.0,upto 4000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1946,GRUMMAN,G44A SUPER WIDGEON,"AK
	                           USA",Not Listed,n41993,7400.0,United States,250000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1946,LUSCOMBE AIRCRAFT,8A,"Painted Post,
	                           NY
	                           USA",Not Listed,N45484,1550.0,United States,25000.0,upto 2000 hours,upto 100000,USA
Project,USD,Single Engine Piston,1941,PIPER AIRCRAFT,J-3C,"Cody,
	                           WY
	                           USA",7280,38803,1200.0,United States,10000.0,upto 2000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1974,CESSNA,210L,"Wellington,
	                           FL
	                           USA",S-21060142,N210CH,5308.0,United States,165000.0,upto 10000 hours,upto 250000,USA
Used,USD,Piston Helicopters,1979,BELL TEXTRON,47G-2,"Holliday,
	                           TX
	                           USA",TWH15,N8051E,2690.0,United States,125000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2008,REMOS,GX,"Marion,
	                           NC
	                           USA",258,449RA,200.0,Germany,85000.0,upto 1000 hours,upto 100000,Other
Used,USD,Single Engine Piston,2008,VAN'S AIRCRAFT,RV-9/9A,"Boulder,
	                           CO
	                           USA",Not Listed,Not Listed,190.0,United States,78000.0,upto 1000 hours,upto 100000,USA
Used,USD,Private Jets,1922,CANADAIR,T-33 SILVER STAR,"Reno,
	                           NV
	                           USA",467,N457AV,11405.0,Canada,210000.0,more than 10000 hours,upto 250000,Other
Used,USD,Single Engine Piston,1928,LINCOLN-PAGE,LP3,"Brodhead,
	                           WI
	                           USA",212,NC5735,15.0,United States,225000.0,upto 1000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1928,STOUT/FORD,TRI-MOTOR,"CA
	                           USA",74,N414H,16508.0,United States,1400000.0,more than 10000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,1929,ALLIANCE,A-1 ARGO,USA,108,N2M,990.0,United States,85000.0,upto 1000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1929,JOSEPH KREUTZER CORP,K5,"Anoka,
	                           MN
	                           USA",102,N612A,820.0,United States,795000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,1929,PARAMOUNT,CABINAIRE,"MN
	                           USA",Not Listed,N17M,510.0,United States,235000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1934,WACO AIRCRAFT COMPANY,UKC,USA,3842,NC13897,2786.0,United States,140000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1935,WACO AIRCRAFT COMPANY,CUC-1,"Anoka,
	                           MN
	                           USA",4318,N15233,1514.0,United States,185000.0,upto 2000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1936,LOCKHEED CORPORATION,12A,"WA
	                           USA",1236,N12EJ,7059.0,United States,568000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Multi Engine Piston,1937,LOCKHEED CORPORATION,12A,"ON
	                           CAN",1222,CF-LKD,17058.0,United States,995000.0,more than 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,1938,CUNNINGHAM HALL,PT-6F,USA,381,Not Listed,1656.0,United States,295000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1939,PIPER AIRCRAFT,J-3 CUB,"Ashville,
	                           AL
	                           USA",3740,N25786,45.0,United States,65000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1939,Stinson Aircraft Company ,HW-75,"Sonora,
	                           CA
	                           USA",7083,N22513,4500.0,United States,29900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1940,PIPER AIRCRAFT,J-3 CUB,"Philippi,
	                           WV
	                           USA",6063,N35057,4230.0,United States,39000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1940,PIPER AIRCRAFT,J-3C,"waxhachie,
	                           TX
	                           USA",4245,NC26923,195.0,United States,36000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1940,PIPER AIRCRAFT,J-3C,"MT
	                           USA",Not Listed,N33251,6749.0,United States,36000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1940,PIPER AIRCRAFT,J-4 CUB,"Perry,
	                           NY
	                           USA",4867,N26726,1923.0,United States,33000.0,upto 2000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1940,PIPER AIRCRAFT,J-4 CUB,"Rockford,
	                           IL
	                           USA",4867,N26726,433.0,United States,33000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1940,PIPER AIRCRAFT,J-5A CUB CRUISER,"Watsonville,
	                           CA
	                           USA",5-485,N33295,5094.0,United States,35000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1940,WACO AIRCRAFT COMPANY,UPF-7,"Faribault,
	                           MN
	                           USA",Not Listed,Not Listed,1422.0,United States,186000.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1941,BOEING/STEARMAN,A75 N1,"Faribault,
	                           MN
	                           USA",75-598,N266N,3329.0,United States,139000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1941,BOEING/STEARMAN,A75 N1,"Wauseon,
	                           OH
	                           USA",75-4870,N56436,732.0,United States,135000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1941,BOEING/STEARMAN,A75 N1,"Paso Robles,
	                           CA
	                           USA",75-1130,N9988H,5.0,United States,250000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1941,BOEING/STEARMAN,B75 N1,"Petaluma,
	                           CA
	                           USA",75-1182,N67194,36629.0,United States,106000.0,more than 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1941,BOEING/STEARMAN,PT-13D KAYDET,"Blaine,
	                           MN
	                           USA",75-5474,N317PT,322.0,United States,135000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1941,CURTISS,P-40E WARHAWK,Madras,AK803,Not Listed,569.0,United States,1575000.0,upto 1000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,1941,DEHAVILLAND,DH-82A,"GA
	                           USA",A-17-392,N5446,4335.0,Canada,79500.0,upto 10000 hours,upto 100000,Other
Used,USD,Multi Engine Piston,1941,DOUGLAS AIRCRAFT COMPANY,DC-3A,"Santa Rosa,
	                           CA
	                           USA",2234,N25646,85385.0,United States,260000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1941,WACO AIRCRAFT COMPANY,UPF-7,"Carlsbad,
	                           CA
	                           USA",Not Listed,Not Listed,3400.0,United States,119000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1942,BOEING/STEARMAN,B75 N1,"Livermore,
	                           CA
	                           USA",75-8233,N68837,8803.0,United States,129950.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1942,DOUGLAS AIRCRAFT COMPANY,DC-3A,"Petaluma,
	                           CA
	                           USA",Not Listed,N25646,85385.0,United States,260000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1942,HAWKER,HURRICANE IIB,AUS,5481,VH-JFW,209.0,Britain,1973400.0,upto 1000 hours,upto 2000000,Other
Used,USD,Single Engine Piston,1942,NOORDUYN AIRCRAFT LTD,UC-64A NORSEMAN,"Rockford,
	                           IL
	                           USA",43-5233,N164UC,512.0,Canada,190000.0,upto 1000 hours,upto 250000,Other
Used,USD,Single Engine Piston,1942,NORTH AMERICAN AVIATION,SNJ 3,"Port Orange,
	                           FL
	                           USA",78-6840,N4488W,3402.0,United States,220000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1943,AERONCA,L-3,"Pine Bluff,
	                           AR
	                           USA",11323,Not Listed,2835.0,United States,45000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1943,BEECHCRAFT,D17S STAGGERWING,"Canada,
	                           MO
	                           USA",Not Listed,Not Listed,186.0,United States,395000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1943,BOEING/STEARMAN,N2S-3,"Naples,
	                           FL
	                           USA",75-7780,N91098,6100.0,United States,85000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1943,BOEING/STEARMAN,PT-17 KAYDET,"Cheyenne,
	                           CO
	                           USA",75-5365,N58987,10010.0,United States,95000.0,more than 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1943,NORTH AMERICAN AVIATION,SNJ 4,"Lake Elmo,
	                           MN
	                           USA",88-13164,N7070C,6310.0,United States,170000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1943,TAYLORCRAFT AIRCRAFT,DCO-65,"Como,
	                           MS
	                           USA",5102,N11AJ,1815.0,United States,29900.0,upto 2000 hours,upto 100000,USA
