condition,currency,category,year,make,model,location,s/n,reg,total_hours,national_origin,standard_price,hour,price,country
Used,USD,Single Engine Piston,1990,BEECHCRAFT,F33A BONANZA,"Scottsdale,
	                           AZ
	                           USA",CE1489,N15454,1196.0,United States,249000.0,upto 2000 hours,upto 250000,USA
Used,USD,Turboprops,1990,BEECHCRAFT,KING AIR C90A,Oxford (KHNZ),LJ-1235,N92FC,6150.0,United States,795000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,1990,AVIAT,HUSKY,"Clinton,
	                           MO
	                           USA",1138,N96042,2320.0,United States,105000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1990,GLASAIR AVIATION,GLASAIR II FT,"Walla Walla,
	                           WA
	                           USA",N-79TP,Not Listed,695.0,United States,52500.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1990,MOONEY INTERNATIONAL CORP,M20K 252TSE,"Portland,
	                           ME
	                           USA",25-1229,N10851,1583.0,United States,165000.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1990,MOONEY INTERNATIONAL CORP,M20M TLS BRAVO,"Drums,
	                           PA
	                           USA",Not Listed,N9120D,4570.0,United States,167500.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1990,PIPER AIRCRAFT,MALIBU MIRAGE,"Arlington,
	                           TX
	                           USA",Not Listed,N9193Q,5026.0,United States,295000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1990,SOCATA,TB-21 TC TRINIDAD,"Manassas,
	                           VA
	                           USA",1039,N2804W,2420.0,France,165500.0,upto 4000 hours,upto 250000,Other
Used,USD,Single Engine Piston,1991,BEECHCRAFT,A36 BONANZA 36,"Knoxville,
	                           TN
	                           USA",E2658,N8190G,7985.0,United States,179000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1993,AMERICAN CHAMPION,8-KCAB SUPER DECATHLON,"Roseburg,
	                           OR
	                           USA",724-93,N404JE,343.0,United States,118000.0,upto 1000 hours,upto 250000,USA
Used,USD,Turboprops,1993,BEECHCRAFT,KING AIR 350,"Muskegon,
	                           MI
	                           USA",Not Listed,N344L,7135.0,United States,1795000.0,upto 10000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,1993,PIPER AIRCRAFT,SUPER CUB,"Michigan City,
	                           IN
	                           USA",Not Listed,Not Listed,517.0,United States,109000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1993,YAKOVLEV,YAK 52,"Canada
	                           
	                           USA",Not Listed,Not Listed,772.0,Soviet Union,84500.0,upto 1000 hours,upto 100000,Other
Used,USD,Single Engine Piston,1994,BEECHCRAFT,A36 BONANZA 36,"Fayetteville,
	                           AR
	                           USA",E-2905,N1564D,934.0,United States,299000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Private Jets,1994,BEECHCRAFT,BEECHJET 400A,"San Fernando
	                           
	                           ARG",RK-85,LV-FWF,6049.0,United States,1100000.0,upto 10000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,1994,MOONEY INTERNATIONAL CORP,M20M TLS BRAVO,"Stillwater,
	                           OK
	                           USA",27-0168,N9167J,1293.0,United States,189000.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1994,PIPER AIRCRAFT,MALIBU MIRAGE,"Springdale,
	                           AR
	                           USA",4622169,N123TE,2760.0,United States,385000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1994,PIPER AIRCRAFT,PA-11 CUB SPECIAL,"Hubbard,
	                           OR
	                           USA",Not Listed,Not Listed,596.0,United States,55000.0,upto 1000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1994,PIPER AIRCRAFT,SENECA IV,"Orlando,
	                           FL
	                           USA",3448050,Not Listed,3890.0,United States,225000.0,upto 4000 hours,upto 250000,USA
Used,USD,Piston Helicopters,1994,SCHWEIZER,300C,"Kenosha,
	                           WI
	                           USA",S-1684,N 9787F,9223.0,United States,99900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1994,SOCATA,TB-9 TAMPICO,"Republic Airport    Farmingdale,
	                           NY
	                           USA",1644,N545PC,7946.0,France,39900.0,upto 10000 hours,upto 100000,Other
Used,USD,Single Engine Piston,1994,YAKOVLEV,YAK 3M,"Camarillo,
	                           CA
	                           USA",470104,N529SB,250.0,Soviet Union,450000.0,upto 1000 hours,upto 500000 hours,Other
Used,USD,Single Engine Piston,1995,AVIAT,HUSKY A-1,"NC
	                           USA",Not Listed,N49372,4777.0,United States,89900.0,upto 10000 hours,upto 100000,USA
Used,USD,Turboprops,1995,AYRES,S2R-G6,"Hayti,
	                           MO
	                           USA",G6-121,N3160M,11024.0,United States,325000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Turboprops,1995,BEECHCRAFT,KING AIR 350,"AZ
	                           USA",Not Listed,Not Listed,3105.0,United States,1295000.0,upto 4000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,1995,BELLANCA,17-30A SUPER VIKING (1979 AND NEWER),"Birmingham,
	                           AL
	                           USA",Not Listed,N288SV,400.0,United States,155000.0,upto 1000 hours,upto 250000,USA
Used,USD,Private Jets,1995,CESSNA,CITATION V ULTRA,"West Palm Beach,
	                           FL
	                           USA",560-0316,120QM,3597.0,United States,1965000.0,upto 4000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,1995,DIAMOND AIRCRAFT INDUSTRIES,DA20-A1 KATANA,"Galesburg,
	                           IL
	                           USA",10081,N521SS,3230.0,AUSTRIA,69000.0,upto 4000 hours,upto 100000,Other
Used,USD,Single Engine Piston,1995,MAULE AIR,MX-7-180A,"MI
	                           USA",Not Listed,N3114C,503.0,United States,73000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1995,MOONEY INTERNATIONAL CORP,M20M TLS BRAVO,"Oklahoma City,
	                           OK
	                           USA",M20M-208,N9163C,720.0,United States,199900.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1995,QUESTAIR,VENTURE,"Daytona Beach,
	                           FL
	                           USA",44,N94Y,1600.0,United States,149500.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1996,AMD,ALARUS CH2000,"Stuart,
	                           FL
	                           USA",20-0015,N536CB,800.0,United States,25000.0,upto 1000 hours,upto 100000,USA
Used,USD,Private Jets,1996,CESSNA,CITATION V ULTRA,"New Richmond,
	                           WI
	                           USA",560-0359,N416BA,6546.0,United States,1245000.0,upto 10000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,1996,EXTRA FLUGZEUGBAU,EA 300/200,"Palatka,
	                           FL
	                           USA",4,N960SS,875.0,Germany,210000.0,upto 1000 hours,upto 250000,Other
Used,USD,Single Engine Piston,1996,PIPER AIRCRAFT,SARATOGA II HP,"Lexington,
	                           KY
	                           USA",3246032,N330TF,2923.0,United States,239900.0,upto 4000 hours,upto 250000,USA
Used,USD,Piston Helicopters,1996,ROBINSON HELICOPTER,R22 BETA II,"NH
	                           USA",Not Listed,Not Listed,26.0,United States,100000.0,upto 1000 hours,upto 100000,USA
Used,USD,Turboprops,1997,AYRES,S2R SERIES,"Hayti,
	                           MO
	                           USA",G10-145,N773CC,6500.0,United States,420000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Multi Engine Piston,1997,BEECHCRAFT,58 BARON,"Fayetteville,
	                           AR
	                           USA",TH-1836,N521W,6129.0,United States,395000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1997,BEECHCRAFT,A36 BONANZA 36,"Greensboro,
	                           NC
	                           USA",E-3105,N51ML,2540.0,United States,325000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Turboprops,1997,BEECHCRAFT,KING AIR 350,"Lexington,
	                           KY
	                           USA",FL179,N350S,6600.0,United States,2150000.0,upto 10000 hours,more than 2000000,USA
Used,USD,Turboprops,1997,BEECHCRAFT,KING AIR C90B,"Lincoln,
	                           NE
	                           USA",LJ-1477,N8FH,4408.0,United States,1395000.0,upto 10000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,1997,CESSNA,172,"Clearwater,
	                           FL
	                           USA",17280208,N9968F,7520.0,United States,148900.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1997,CESSNA,172R SKYHAWK,"Princeton,
	                           NJ
	                           USA",Not Listed,N172FW,8400.0,United States,119500.0,upto 10000 hours,upto 250000,USA
Used,USD,Private Jets,1997,CESSNA,CITATION V ULTRA,"Calgary
	                           
	                           CAN",560-0444,C-GKZT,12690.0,United States,1250000.0,more than 10000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,1997,GLASAIR AVIATION,GLASAIR III RG,"San Carlos,
	                           CA
	                           USA",3270,N115DK,785.0,United States,189900.0,upto 1000 hours,upto 250000,USA
Used,USD,Private Jets,1997,LEARJET,31A,"Tampa,
	                           FL
	                           USA",132,N929JH,7841.0,United States,725000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,1997,PIPER AIRCRAFT,MALIBU MIRAGE,"Hollywood,
	                           FL
	                           USA",Not Listed,N9280K,3550.0,United States,485000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1997,PIPER AIRCRAFT,SARATOGA II HP,"Franklin,
	                           VA
	                           USA",3246088,N9298P,3094.0,United States,265000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1997,WACO AIRCRAFT COMPANY,YMF-5,"Brisbane,
	                           QLD
	                           AUS",F5050,VH-YOW,971.0,United States,129000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1997,YAKOVLEV,YAK 9-UM,"DE
	                           USA",470404,N6373Y,603.0,Soviet Union,695000.0,upto 1000 hours,upto 1000000 hours,Other
Used,USD,Private Jets,1998,GULFSTREAM AIRSPACE,SPX,"Rochester,
	                           NY
	                           USA",97,N363NH,6529.0,United States,1199000.0,upto 10000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,1998,AVIAT,HUSKY A-1A,"Boynton Beach,
	                           FL
	                           USA",1418,N27BE,2002.0,United States,110000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1998,AVIAT,HUSKY A-1A,"Canning,
	                           NS
	                           CAN",1411,C-FIAL,957.0,United States,155000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1998,AVIAT,PITTS S2-C,"Medicine Hat,
	                           AB
	                           CAN",6001,C - GOJJ,1084.0,United States,150000.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1998,BEECHCRAFT,A36 BONANZA 36,"Lago Vista,
	                           TX
	                           USA",E-3181,N757AM,2350.0,United States,375000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1998,BEECHCRAFT,A36 BONANZA 36,"Greensboro,
	                           NC
	                           USA",E-3201,N3054A,1235.0,United States,335000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Turboprops,1998,BEECHCRAFT,KING AIR C90B,"Auburn,
	                           IN
	                           USA",LJ-1504,N632MT,4414.0,United States,1795000.0,upto 10000 hours,upto 2000000,USA
Used,USD,Private Jets,1998,BOEING,737-500,"Belgrade
	                           
	                           SRB",28916,VQ-BOO,29349.0,United States,4000000.0,more than 10000 hours,more than 2000000,USA
Used,USD,Single Engine Piston,1998,CESSNA,172R SKYHAWK,"Princeton,
	                           NJ
	                           USA",Not Listed,N2245U,8200.0,United States,139900.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1998,LANCAIR,IV,"Concord,
	                           CA
	                           USA",LIV190,N1228E,1200.0,United States,154900.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1998,LANCAIR,IV-P,"Pensacola,
	                           FL
	                           USA",LIV-281,N848E,398.0,United States,275000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1998,MAULE AIR,MXT-7-180,"OH
	                           USA",Not Listed,N1048Q,393.0,United States,85500.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1998,MOONEY INTERNATIONAL CORP,M20K ENCORE,"Salt Lake City,
	                           UT
	                           USA",25-2020,N998EC,1900.0,United States,239000.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1998,PIPER AIRCRAFT,MALIBU MIRAGE,"Bend,
	                           OR
	                           USA",4636186,N4133G,1490.0,United States,420000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1998,PIPER AIRCRAFT,SARATOGA II HP,"Lexington,
	                           KY
	                           USA",3246100,N416TS,2060.0,United States,289900.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,1998,ROBINSON HELICOPTER,R22 BETA II,"CA
	                           USA",Not Listed,Not Listed,7083.0,United States,155000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1998,Steen Aero Lab Inc,SKYBOLT,"Smithfield,
	                           VA
	                           USA",Not Listed,N198RR,302.0,United States,65000.0,upto 1000 hours,upto 100000,USA
